"SUBURB_NUM","suburb","postcode","lonmin","latmin","lonmax","latmax"
564115,"YELTANA","5641",136.25319059,-32.8247205,136.37106307,-32.74109461
564201,"HAMBIDGE","5642",135.777137,-33.4877529,136.04565602,-33.33086835
564202,"DARKE PEAK","5642",136.02919247,-33.5133162,136.3267256,-33.3305245
564203,"KIELPA","5642",136.04520584,-33.6382768,136.3244934,-33.5123358
564204,"MURLONG","5642",135.9073145,-33.7887212,136.04520584,-33.63755499
564205,"RUDALL","5642",136.0449298,-33.8042678,136.4088397,-33.6369498
565001,"COOTRA","5650",135.8844001,-33.3312514,136.0013383,-33.191956
565002,"KOONGAWA","5650",135.7238922,-33.33132151,136.0014717,-33.0554517
565003,"WARRAMBOO","5650",135.3528625,-33.33326338,135.84936231,-33.1543655
565101,"KYANCUTTA","5651",135.4803329,-33.2310985,135.7906664,-33.0381954
565201,"WUDINNA","5652",135.2691799,-33.1950902,135.65323371,-32.9111315
565203,"PYGERY","5652",135.30814225,-33.057565,135.4808682,-32.8061838
565301,"YANINEE","5653",135.1309106,-33.0576253,135.393019,-32.7633053
565401,"KARCULTABY","5654",134.8201664,-33.14081097,134.9778984,-32.7171423
565402,"MINNIPA","5654",134.9747246,-32.9902459,135.3085078,-32.62162295
565403,"MOUNT DAMPER","5654",134.8207727,-33.290386,135.2834447,-32.9596465
565404,"COCATA","5654",135.13715783,-33.3333871,135.3771012,-33.1473473
565501,"POOCHERA","5655",134.7516108,-32.774754,134.975364,-32.6471914
565502,"KALDOONERA","5655",134.7715489,-32.6592705,134.97503624,-32.5136369
565503,"BOCKELBERG","5655",134.97499854,-32.64721422,135.1366432,-32.51420216
565505,"LOCKES CLAYPAN","5655",135.01299195,-32.57592018,135.13668393,-32.41179418
565506,"NARLABY","5655",134.85633882,-32.5146993,134.906619,-32.43402918
565507,"GAWLER RANGES","5655",134.85562105,-32.8150879,135.79173527,-32.21954651
566001,"CHILPENUNDA","5660",134.44251398,-32.67314729,134.6144971,-32.51367001
